Der findes tre køn og fem kasus på græsk; De hedder:,"Maskulinum, femininum, neutrum; nominativ, vokativ, akkusativ, genitiv, dativ."
"I nom sing hedder den bestemte artikel ὁ, ἡ, τό, som er hhv.","Maskulinum, femininum og neutrum: ὁ, ἡ, τό."
"Akk hedder τόν, τήν, τό. Nominativ og akkusativ hedder altså...","ὁ, ἡ, τό \\ τόν, τήν, τό"
"Genitiv hedder τοῦ τῆϛ τοῦ. Gentag nom, akk og gen for hvert køn!","ὁ, τόν, τοῦ \\ ἡ, τήν, τῆϛ \\ τό, τό, τοῦ"
"I genitiv er to køn ens, nemlig...",Maskulinum og neutrum.
I dat er mask og neutr også ens: τῷ τῇ τῷ. Gentag hele singularis i alle tre køn.,ὁ ἡ τό \\ τόν τήν τό \\ τοῦ τῆϛ τοῦ \\ τῷ τῇ τῷ
"Der er altså kun to former, som begynder med spiritus i sing, nemlig...",Maskulinum og femininum nominativ. 
I pluralis hedder nominativ οἱ αἱ τά. Gentag nominativ i singularis og pluralis!,ὁ ἡ τό \\ οἱ αἱ τά
Akkusativ pluralis hedder τούϛ τάϛ τά. Gentag nominativ og akkusativ pluralis...,οἱ αἱ τά \\ τούϛ τάϛ τά
Genitiv er ens i alle køn: τῶν.  Genitiv i singularis og pluralis hedder...,τοῦ τῆϛ τοῦ \\ τῶν τῶν τῶν
Dativ pluralis hedder τοῖϛ ταῖϛ τοῖϛ; dativ singularis og pluralis hedder...,"τῷ τῇ τῷ, \\ τοῖϛ ταῖϛ τοῖϛ"
Hvilken form er τούϛ?,Maskulinum akkusativ pluralis.
Hvilken form er τῷ?,Maskulinum og neutrum dativ singularis.
Hvilken form er οἱ?,Maskulinum nominativ pluralis.
Hvilken form er τῶν?,"Genitiv pluralis, alle køn."
Hvilken form er τό?,Nominativ og akkusativ neutrum singularis.
Hvilken form er τόν?,Maskulinum akkusativ singularis.
Hvilken form er τοῦ?,Maskulinum og neutrum genitiv singularis.
Hvilken form er τῶν?,Genitiv pluralis i alle køn.
