A-stammer er mest fem.\\ Nominativmærket er Ø. Der findes to former: med slutvokal -α eller -η. \\ Hvilken type er οἰκία (hus) og νίκη (sejr)?,οἰκία er af 1. type (-α); νίκη er af 2. type.
Sæt bestemt artikel på οἰκία og νίκη!,"ἡ οἰκία, ἡ νίκη"
Nominativendelsen er...,Ø (nul). 
Akk ender på -ν; οἰκία og νίκη hedder i akk (med bestemt artikel)...,τὴν οἰκίαν \\ τὴν νίκην
Genitivmærket er -ϛ; οἰκία og νίκη hedder derfor...,"τῆϛ οἰκίαϛ, \\ τῆϛ νίκηϛ."
"Dat sing har iota subscriptum, altså...",τῇ οἰκίᾳ \\ τῇ νίκῃ
Bøj ἡμέρα (dag) i sing!,ἡ ἡμέρα \\ τὴν ἡμέραν \\ τῆϛ ἡμέραϛ \\ τῇ ἡμέρᾳ
Bøj δίκη (retfærdighed)!,ἡ δίκη \\ τὴν δίκην \\ τῆϛ δίκηϛ \\ τῇ δίκῃ
"I plur er kasusendelserne de samme som ved den bestemte artikel, de hedder...",αἱ \\ τάϛ \\ τῶν \\ ταῖϛ
Bøj οἰκία i plur!,αἱ οἰκίαι \\ τὰϛ οἰκίαϛ \\ τῶν οἰκιῶν \\ ταῖϛ οἰκίαιϛ 
δίκη bøjes som οἰκία...,αἱ δίκαι \\ τὰϛ δίκαϛ \\ τῶν δικῶν \\ ταῖϛ δίκαιϛ
ἡ καλὴ ἡμέρα betyder ‘den smukke dag’. Hvad hedder det i gen sing?,τῆϛ καλῆϛ ἡμέραϛ.
Hvad hedder ἡ καλὴ ἡμέρα i akk pl?,τὰϛ καλὰϛ ἡμέραϛ.
α-hannerne er navnet på nogle A-stammer som er m (2.3.2). De ender i nom sing på -ϛ. Hvilken form er ὁ Νικίαϛ?,Nom sing.
Vok er lig stammen. Νικίαϛ hedder i vok...,ὦ Νικία!
Akk sing ender på -ν; Νικίαϛ hedder derfor...,τὸν Νικίαν.
"Gen ender (som O-stammer) på ου, altså...",τοῦ Νικίου.
Dat sing har iota subscriptum; Νικίαϛ hedder i dat...,τῷ Νικίᾳ.
Bøj ὁ σοϕὸϛ Νικίαϛ i hele sing!,ὁ σοϕὸϛ Νικίαϛ \\ ὦ σοϕὲ Νικία \\ τὸν σοϕὸν Νικίαν \\ τοῦ σοϕοῦ Νικίου \\ τῷ σοϕῷ Νικίᾳ
Hvorledes bøjes α-hannerne i pluralis?,Plur bøjes fuldstændig som de feminine A-stammer.
