Nominativmærket er -ϛ; stammen λογο- (ord) hedder i nom...,λόγοϛ.
Akk ender på -ν. Hvad hedder ὁ καλὸϛ λόγοϛ i akk sing?,τὸν καλὸν λόγον.
Gen ender på -ου; κύριοϛ betyder herre. Hvad hedder 'herrens hus (οἰκία)'?,ἡ οἰκία τοῦ κυρίου. 
Dat ender på -ῷ; ὁ λόγοϛ hedder i dat...,τῷ λόγῳ.
"Nom pl har samme endelse som den bestemte artikel, ὁ λόγοϛ hedder derfor...",οἱ λόγοι.
"Akk, gen og dat har samme endelser som den bestemte artikel. Angiv formerne i plur.",τοὺϛ λόγουϛ \\ τῶν λόγων \\ τοῖϛ λόγοιϛ
Hvad hedder herrernes huse?,αἱ οἰκίαι τῶν κυρίων.
Vokativ sing ender på -ε. Sostratos! hedder derfor...,ὦ Σώστρατε.
Hvilken form er τοὺϛ λόγουϛ?,Akk pl.
Hvilken form er τῷ λόγῳ?,Dat sing.
Hvad hedder 'de smukke (καλο-) ord' i dat plur?,τοῖϛ καλοῖϛ λόγοιϛ.
Bøj λόγοϛ i hele plur!,οἱ λόγοι \\ τοὺϛ λόγουϛ \\ τῶν λόγων \\ τοῖϛ λόγοιϛ
Hvilken form er τοῦ λόγου?,Gen sing.
Hvilken form er τοὺϛ λόγουϛ?,Akk pl.
Omsæt τοῦ καλοῦ λόγου til plur!,τῶν καλῶν λόγων.
Gentag λόγοϛ i hele sing!,λόγοϛ \\ λόγον \\ λόγου \\ λόγῳ
Hvad hedder dat plur af ὁ κύριοϛ?,τοῖϛ κυρίοιϛ.
Hvad betyder οἱ λόγοι τοῦ κυρίου?,Herrens ord.
Hvad hedder 'ordenes herre'?,ὁ κύριοϛ τῶν λόγων / ὁ τῶν λόγων κύριοϛ
