Personendelserne er forskellige i aktiv og medium. Passiv har samme personendelser som aktiv. ,Aktiv/passiv og medium. 
Der er to hovedtyper af personendelser...,A- og B-endelser.
De kaldes også...,Primære og sekundære endelser.
Antallet af personendelsestyper ved de tematiske verber er...,Fire: aktiv/passiv og medium i hhv A- og B-endelser. 
A-endelser bruges i ind præsens og i konj. Præsens har altså...,A-endelser.
A-endelser bruges ved...,Ind præs og konj.
B-endelser bruges i ind præt og i opt. Opt har altså...,B-endelser.
B-endelserne bruges ved...                    ,Ind præt og opt.
"De aktive A-personendelser i sing hedder -ω, -ιϛ, -ι. 
1. pers sing hedder...",-ω.
A-endelserne i 2. og 3. person sing hedder...,"-ιϛ \\ -ι"
A-endelserne i sing:,-ω \\ -ιϛ \\ -ι
A-endelserne i plur hedder -μεν -τε -ουσι. Luk øjnene og gentag dem!,-μεν \\ -τε \\ -ουσι
Hvad hedder A-endelserne i aktiv?,-ω \\ -ιϛ \\ -ι \\ -μεν \\ -τε \\ -ουσι
Disse endelser bruges i...,"ind præs og konj, aktiv."
"De aktive B-endelser er -ν -ϛ -Ø / -μεν -τε -ν. 
Gentag sing!",-ν \\ -ϛ \\ -Ø
De aktive B-endelser i plur hedder:,-μεν \\ -τε \\ -ν
Hvad hedder B-endelserne i aktiv?,-ν \\ -ϛ \\ -Ø \\ -μεν \\ -τε \\ -ν
De mediale A-endelser er -μαι -σαι (→ -ει/-ῃ) -ται / -μεθα -σθε -νται. Gentag sing!,-μαι \\ -σαι (→ -ει/-ῃ) \\ -ται
"A-endelsen i 2. sing medium hedder -σαι, hvad sammentrækkes det til?",-ει eller -ῃ
De mediale A-endelser i medium plur:,-μεθα \\ -σθε \\ -νται
De mediale A-endelser!,-μαι \\ -σαι (→ -ει/-ῃ) \\ -ται \\ -μεθα \\ -σθε \\ -νται
De mediale B-endelser er -μην -σο (→ -ου/-ω) -το / -μεθα -σθε -ντο. Gentag sing!,-μην \\ -σο (→ ου/ω) \\ -το
"B-endelsen i 2. seng medium hedder -σο, hvad sammentrækkes det til?",-ου eller -ω
De mediale B-endelser i sing er...,-μην \\ -ου/-ω \\ -το
De mediale B-endelser i plur er...,-μεθα \\ -σθε \\ -ντο
Gentag alle mediale B-endelser!,-μην \\ -ου/-ω \\ -το \\ -μεθα \\ -σθε \\ -ντο
