Der er to infinitte modi:,Inf og ptc
"Inf bruges som verballed i en infinit nexus, som kaldes...",Akkusativ med infinitiv (a.c.i.)
"Akkusativ med infinitiv har også en variant, som kaldes...",Nominativ med infinitiv (n.c.i.)
I nom og akk m. inf står subjektet i hhv.,Akkusativ og nominativ (n.c.i. er subjektet sjældent udtrykt).
Oversæt ϕημί σε σοϕὸν εἶναι og  ϕημὶ σοϕὸς εἶναι,"Jeg siger, at du er klog (a.c.i.). Jeg siger, at jeg er klog (n.c.i.)"
Analysér denne sætning: ϕημὶ Σωκράτην σοϕώτατον εἶναι,"ϕημί: finit nexus \\ Σωκράτην σοϕώτατον εἶναι: obj hvori der er et subj i akk, et verballed i inf og et subj præd i akk."
Analysér denne sætning: οἱ ᾽Αθηναῖοι νομίζουσι Σωκράτην ἀδικεῖν,"οἱ ᾽Α. νομίζουσιν: finit nexus \\ Σωκράτην ἀδικεῖν: infinit nexus, subj i akk og verbal i inf."
ὁρῶ σε πίνοντα (jeg ser dig drikke) - hvad kaldes denne konstruktion?,Akkusativ med participium (a.c.p.). 
Ved hvilken type verber er akk m. ptc især hyppig?,Sanseverber (verba sentiendi)
"πυνθάνομαι αὐτὸν ἀποδημοῦντα (jeg erfarer, at han ikke er hjemme) kaldes:",Akk m ptc (a.c.p.)
Den almindeligste brug af participier er:,"Participium conjunctum \\ attributiv (substantiveret) \\ absolut genitiv."
"Hvordan skelner man mellem ptc conj, attributiv ptc og abs gen (16.3)?",(1) bestemt artikel = attributiv \\ (2) ptc + nomen i genitiv = absolut genitiv \\ (3) sanseverbum + ptc-konstruktion = a.c.p
Brug af ptc: ὁ ἄρχων λέγει· ταῦτα ἐγένετο Σολωνοϛ ἄρχοντοϛ.,ὁ ἄρχων er et substantiveret participium; \\ ἄρχοντοϛ er en del af en abs. Gen
Nexus i absolut genitiv består af...,Et nomen i gen og et ptc i gen.
"Dan en abs gen af: Κῦροϛ βασιλεύει, Kyros er konge",Κύρου βασιλεύοντοϛ
Hvordan oversættes bedst Κύρου βασιλεύοντοϛ?,'mens Kyros regerede/regerer'
Bestem brugen af ptc og giv en oversættelse: ὁ ταῦτα λέγων ,"Attributiv brug. Den dette sigende = den, der siger dette"
Bestem brugen af ptc og oversæt: ταῦτα λέγων ἀπῆλθε ,"Ptc conj (ingen artikel, ikke gen). \\ Idet han sagde dette, gik han"
Bestem brugen og ptc og oversæt: ἔρχεται ϕάσκουσα τοῦτο κάλλιον εἶναι.,Ptc conj. \\ Hun kommer sigende dette at være bedre
Bestem brugen af ptc: θύοντοϛ μου τὰ ἱερὰ οἱ ἄλλοι σιωπῶσιν (jeg ofrende de hellige ting de andre tier),"Abs gen. Den infinitte nexus θύοντοϛ μου har sit eget obj, τὰ ἱερά. \\ 
Imens jeg ofrer, tier de andre."
Bestem brugen af ptc: δειπνήσαϛ σπονδὰϛ ἐποίησε (havende spist gjorde han drikofre),Ptc conj.
Hvilken brug af ptc er generelt mest hyppig?,Ptc con.
