"Hvad betyder aoriststammerne λαβ-, ἐλθ-, ἰδ-","tag-, gå-, se-"
"τυχ-, μαθ-, δο-, βαλ-","opnå-/træf, lær-, giv-, kast-"
"εἰπ-, βα/βη, γεν-, λαθ-","sig-, gå-, bliv-, skjul"
"λαβ-, ἐλθ-, θαν-, βαλ-","tag-, gå-, dø-, kast-"
"γεν-, γνω-, μαθ-, εὑρ-","bliv- kend- lær-, find"
"ἰδ-, τυχ-, ἐλθ-, λαβ-","se-, opnå-/træf-, kom-, tag-"
"παθ-, λαθ-, γεν-, ἐλθ-","lid-, skjul-, bliv-, kom-/gå-"
"στη-, θη-, ἡ-, δω-","stil-, sæt-, send- giv- (par. III)"
"στα-, θε-, ἑ-, δο-","kortformerne af stil-, sæt-, send-, giv-"
"εἰπ-, λαβ-, πεισ-, μαθ-","sig-, tag-, overbevis-, lær-"
"σχ-, πυθ-, λαθ-, γνω-","hav-, lær-, skjul-, forstå-"
"εὑρ-, λαβ-, λαθ-, γεν-","find-, tag-, skjul-, bliv-"
"βαλ-, βα/βη-, ἐλθ-, ἑλ-","kast, gå, kom/gå, tag-"
"σχ-, ὀλ-, ἰδ-, εὑρ-","hav-, ødelæg-, se-, find-"
"βαλ-, λαθ-, εἰπ-, ἐ-","kast-, skjul-, sig- vær-"
"στα/στη-, ἐ-, πυθ-, πεισ-","stil-, vær-, lær-, overbevis-"
"γεν-, εὑρ-, ἑλ-, γνω-","bliv-, find-, tag-, forstå"
"ἰδ-, εἰπ-, ἐλθ-, λαβ-","se-, sig-, kom-/gå-, tag-"
"ἑλ-, βαλ-, σχ-, γεν-","tag-, kast-, hav-/få-, bliv-"
