Græsk har 6 modi. Hvilke?,"Indikativ \\ konjunktiv \\ optativ \\ imperativ \\ infinitiv \\ participium."
Hvilke af disse er finitte?,"Indikativ \\ konjunktiv \\ optativ \\ imperativ."
Nævn de to infinitte modi!,"Infinitiv \\ participium."
Hvilke modi har intet modusmærke?,Indikativ og imperativ.
Konjunktivs mærke er forlængede temavokaler. Nævn temavokalernes forlængede former!,"-ω- \\ -η- \\ -η- \\ -ω- \\ -η- \\ -ω-"
Hvad er indikativs modusmærke?,Indikativ har intet modusmærke.
Hvad er konjunktivs modusmærke?,Forlænget temavokal.
"Optativs modusmærke er -ι- (-οι-, -αι-, -ιη-). Nævn modusmærkerne i indikativ, konjunktiv og optativ!",Indikativ: intet; konjunktiv: forlænget temavokal; optativ: -ι-
"Hvilke former er disse: (a) λύομαι, (b) λύωμαι?",(a) imperfektiv indikativ præsens medium 1 sg; \\ (b) imperfektiv konjunktiv medium 1 sg
"Hvilke former er disse: (a) λύοιτο, (b) λύεται?",(a) imperfektiv optativ medium 3 sg; \\ (b) imperfektiv indikativ præsens medium 3 sg
"Hvilke former er disse: (a) λύωσιν, (b) λύοιτο, (c) λύεσθε?",(a) imperf konj akt 3 pl \\ (b) imperf opt med 3 sg \\ (c) imperf ind præs 2 pl / imperf imp 2 pl
"Omsæt disse former til imperfektiv optativ (samme person osv): (a) λύωνται, (b) λύομαι.",(a) λύοιντο \\ (b) λυοίμην
Omsæt disse former til imperfektiv indikativ præsens (samme person osv): (a) λύωσιν (b) λύοις. (c) λύοιμι,(a) λύουσιν; \\ (b) λύεις; \\ (c) λύω
Γράφω betyder skriver. Bøj γράφω i imperfektiv konjunktiv aktiv!,"Γράφω \\ γράφῃς \\ γράφῃ \\ γράφωμεν \\ γράφητε \\ γράφωσιν."
Bøj γράγω i imperfektiv medium optativ!,"Γραφοίμην \\ γράφοιο \\ γράφοιτο \\ γράφοίμεθα \\ γράφοισθε \\ γράφοιντο."
Hvilke former er (a) γράφησθε (b) γράφετε?,(a) imperf konj med 2pl \\ (b) imperf ind præs 2 pl / imperf imp 2 pl
Hvilke former er (a) γράφεται (b) γράφοι (c) γράφωνται?,(a) imperf ind præs med 3 sg \\ (b) imperf opt  akt 3 sg \\ (c) imperf konj med 3 pl
Hvilke former hedder begge γράφω?,Imperf ind præs akt 1 sg \\ imperf konj akt 1 sg
Hvilken af disse former er pl: γράφοιντο / γράφοιτο?,Γράφοιντο.
Indikativ har to tempora (tider): præsens og præteritum. Hvordan kan man se forskel på dem?,"Præsens består af stamme + temavokal + personendelse.
Præteritum består af augment + stamme + temavokal + personendelse."
"Foran stammer, der begynder på konsonant er augmentet et ἐ- ἔ-λυ-ο-ν. Hvad hedder λύω i (a) imperf ind præt akt 2 pl, (b) imperf ind præt med 3pl?",(a) ἐ-λύ-ε-τε. \\ (b) ἐ-λύ-ο-ντο
"Stammer der begynder med voka,l augmenteres ved at forlænge vokalen: 
α > η  
ε > η 
ο > ω ( η, ω, ι, υ forandres ikke)
Hvad hedder den augmenterede form af (a) ἀγ-, (b) ἐλαυν-, (c) ὀρεγ-?","(a) ἠγ- \\ (b) ἠλαυν- \\ (c) ὠρεγ-."
