"De såkalte verba contracta har stammer på -α, -ε -ο. De afviger i imperfektiv fra bøjningsmønstrene i paradigme I. Hvorfor og hvordan?",Verba contracta sammentrækker slutvokalen og temavokalen til én vokal. 
"Der er seks hovedregler, fordi der er to temavokaler: ε og o. \\ Regel 1: -α + e-lyd (ε, η) kontraheres til -ᾶ/-α. α- ε-ι kontraheres til ᾷ. A vinder over E! \\ Kontrahér (a) τιμά-ε-τε (b) τιμά-ε-ις, (c) τίμα-ε, (d) τιμάητε!","(a) τιμᾶτε \\ (b) τιμᾷς \\ (c) τίμα \\ (d) τιμᾶτε."
"Regel 2: -α + o-lyd (ο, ου, ω) kontraheres til -ῶ/ω.\\ O vinder altid! \\ Kontrahér: (a) τιμά-ο-μεν, (b) τιμά-ουσι, (c) τιμα-ό-μενος!","(a) τιμῶμεν \\ (b) τιμῶσι \\ (c) τιμώμενος"
"Hvad er de ukontraherede former af følgende kontraherede verber: \\ (a) ὁρῶσιν, (b) τιμᾶσθε, (c) ἐρᾷ, (d) νικῶμεν?","(a) ὁρά-ουσι, (b) τιμά-εσθε, (c) ἐράει, (d) νικάομεν eller konjunktiv: \\ (a) ὁράωσιν, (b) τιμάησθε, (c) ἐραῃ, (d) νικάωμεν."
"Regel 3: ε + en e-lyd (ε, ει, η) kontraheres til ει eller η. \\ Kontrahér (a) φιλε-ε-ι (b) φιλέ-ε-τε (c) φιλέ-η-ται!",(a) φιλεῖ \\ (b) φιλεῖτε \\ (c) φιλῆ-ται
"Hvad er de ukontraherede former af følgende kontraherede verber: (a) φοβεῖ, (b) αἱρεῖσθε, (c) φιλεῖτε (d) τελεῖς?","(a) φοβέ-ε-ει \\ (b) αἱρέ-ε-σθε \\ (c) φιλέ-ε-τε \\ (d) τελέ-ε-ις."
"Regel 4: ε + en o-lyd (ο ου ω) kontraheres til o-lyd. O vinder altid! \\ Kontrahér: (a) φιλέ-ο-μαι, (b) φιλέ-ο-μεν, (c) φιλε-ο-μενος (d) φιλέ-ων!","(a) φιλοῦμαι \\ (b) φιλοῦμεν \\ (c) φιλούμενος \\ (d) φιλῶν"
"Hvad er de ukontraherede former af følgende kontraherede verber: (a) φιλούμεθα, (b) τελοῦσι, (c) αἱροῦνται (d) φοβοῦμαι?","(a) φιλε-ό-μεθα \\ (b) τελέ-ουσι \\ (c) αἱρέ-ο-νται \\ (d) φοβέ-ο-μαι"
"Regel 5: o + en e-lyd kontraheres til o-lyd (ου ω οι). O vinder altid! \\ Kontrahér: (a) δηλό-ει, (b) δηλό-ε-σθε, (c) ἐδήλο-ε, (d) δηλό-η-ις!","(a) δηλοῖ \\ (b) δηλούσθε \\ (c) ἐδήλου \\ (d) δηλοῖς"
"Hvad er de ukontraherede former af følgende kontraherede verber: δηλoῖ, δουλοῦσθε, δηλοῦν, καινοῦτε? ","δηλό-ει \\ δουλό-ε-σθε \\ δηλό-ειν \\ καιν-ό-ε-τε."
Regel 6: ο + en o-lyd kontraheres på samme måde som ο + en e-lyd. \\ Kontrahér: (a) δηλό-ω (b) δηλο-ώ-μεθα (c) δηλό-οντος (d) δηλό-οι-το!,(a) δηλῶ \\ (b) δηλώμεθα \\ (c) δηλοῦντος \\ (d) δηλοῖτο
"Hvad er de ukontraherede former af følgende kontraherede verber: (a) δηλοῦνται, (b) δηλῶσθε (c) δηλῶνται (d) δηλοῖντο?","(a) δηλό-ο-νται \\ (b) δηλό-η-σθε \\ (c) δηλό-ω-νται \\ (d) δηλόοιντο."
