"Lektion 22 -- μι-verber (6.4, paradigme IIIa--b)"
"Fire verber (‛de store μι-verber’) har stammer med kortform στα-, θε-, ἑ-, δο-. Hvad betyder de?","στα- stille \\ θε- sætte \\ ἑ- sende \\ δο- give"
Gentag kortformerne af de fire store μι-verber,"στα- \\ θε- \\ ἑ- \\ δο-"
"Langformerne af de samme verbstammer hedder στη-, θη-, ἡ-, δω-. I imperf bruges langformerne i ind akt sing, kortformerne i resten. Gentag kort- og langformerne for hvert af de fire verber!","στα-/στη- \\ θε-/θη- \\ ἑ-/ἡ- \\ δο-/δω-"
Gentag kortformerne samlet og derefter langformerne!,"στα-, θε-, ἑ-, δο- \\ στη-, θη-, ἡ-, δω-"
"I imperf har de store μι-verber reduplikation med vokalen ι:\\ ἱστη- ἱστα-, τιθη- τιθε, ἱη- ἱε-, διδω- διδο-. \\ Gentag de reduplicerede kortformer!",ἱστα- \\ τιθε- \\ ἱε- \\ διδο-
"Aor præt akt af ἵστημι er atematisk og har langtrin overalt: ἔστην, ἔστης, ἔστη... fortsæt i pluralis!",ἔστημεν \\ ἔστητε \\ ἔστησαν
"Aor præt akt sing af θη-, ἡ-, δω- har mærket -κ- og personendelsen -α, -ας, -ε. Dan aor præt akt sing af θη-",ἔθηκα \\ ἔθηκας \\ ἔθηκε
Aor præt akt plur dannes atematisk med kortformen θε-. Dan aor præt akt pl.,ἔθεμεν \\ ἔθετε \\ ἔθεσαν
Gentag τίθημι i aor præt akt.,ἔθηκα \\ ἔθηκας \\ ἔθηκε \\ ἔθεμεν \\ ἔθετε \\ ἔθεσαν
Aor præt akt af ἵημι hedder i sing ἥκα (fortsæt!) …,ἥκα \\ ἥκας \\ ἥκε
"Aor præt akt plur dannes atematisk med kortformen ἑ-, der sammen med augmentet skrives εἱ-. Dan aor præt akt pl.",εἷμεν \\ εἷτε \\ εἷσαν
Gentag ἵημι i aor præt akt!,ἥκα \\ ἥκας \\ ἥκε \\ εἷμεν \\ εἷτε \\ εἷσαν
Aor præt akt af δίδωμι hedder i sing ἔδωκα (fortsæt!)…,ἔδωκα \\ ἔδωκας \\ ἔδωκε
Aor præt akt plur dannes atematisk med kortformen δο-. Dan aor præt akt pl!,ἔδομεν \\ ἔδοτε \\ ἔδοσαν
Gentag δίδωμι i aor præt akt!,ἔδωκα \\ ἔδωκας \\ ἔδωκε \\ ἔδομεν \\ ἔδοτε \\ ἔδοσαν
"Uden for aor præt akt sing bruges kortformerne θε-, ἑ-, δο-. Bestem følgende former: (a) δοίη (b) θῆτε (c) δός",(a) aor opt akt 3 sg \\ (b) aor konj akt 2 pl \\ (c) aor imp 2 sg
"Futurum af ἵστημι, τίθημι, ἱημι, δίδωμι består af langformen + σ. Dan disse former i fut ind akt 1 sg!",στήσω \\ θήσω \\ ἥσω \\ δώσω
