Lektion 04 -- Syntax og kasuslære (11.1-10)
Nominativ bruges til ...,Subjekt og subjektsprædikat 
Akk bruges til ...,"(1) direkte objekt, (2) objektsprædikat, (3) adverbialled (med og uden præposition)"
Genitiv bruges til ...,sammenhængskasus mellem to substantiver 
Dativ bruges til ...,Indirekte objekt
Abl har tre funktioner ...,"Instrumental, lokativ/temporal og separativ abl (evt med præpositioner) "
Hvilke to led står i nom?,"Subj, subj præd"
Hvilke tre led står i akk?,"Direkte objekt, objektsprædikat og adverbialled "
Hvilke led står i genitiv?,"Stort set ingen! Gen bruges næsten udelukkende som sammenhængskasus mellem to substantiver: *nōmen rosae* rosens navn, *Cicerōnis opera* Ciceros værker "
Hvilket led står i dativ?,Indirekte objekt 
Hvilke led står i ablativ?,Adverbielle led. Abl er substantivernes adverbielle kasus
En sætnings kerne kaldes ...,Nexus
Hvad bestemmer de øvrige led?,Verbets valens
"Der er tre typer verber, hvilke?","Kopulative, transitive og intransitive verber "
Hvilken kasus har de kopulative verber efter sig?,Nom ved subjektsprædikat 
Hvilken kasus har de transitive verber efter sig?,Akk ved direkte objekt
Hvilken kasus har de intransitive verber efter sig?,Ikke nogen speciel! Der kan evt være indir obj og adverbialled
Det almindeligste kopulative verbum er ...,*sum* 
"Hvis subjektet ikke er udtrykt selvstændigt, kaldes subjektet ...",Implicit
Nævn alle 7 sætningsled!,"1 subjekt, 2 verballed (1+2 = nexus), 3 subj præd, 4 dir obj, 5 obj præd, 6 indir obj, 7 adverbialled"
