Lektion 06 -- O-stammer, maskulinum (substantiver) (2.1.2)
"Substantivernes O-stammer er enten maskulinum eller neutrum. I nogle former kan man ikke se stammens -o. Mask ender i nom sg på *-us*, neutrum ender i nom sg på *-um*. Servus (med stammen servo-) er altså ... (køn, kasus, tal)",mask nom sg: servo-s > servus 
"Akk har samme endelse som i A-stammerne, servus hedder derfor i akk ...",servum (servo-m > servum) 
Gen har endelsen *-ī* og hedder ...,servī (servoi > servī)
Dat og abl er lig med stammen og hedder ...,"servō, servō "
Gentag singularis!,"servus, servum, servī, servō, servō"
"Nom pl hedder det samme som gen sg, altså ...",servī (servoi > servī) 
"Akk pl har som A-stammerne endelsen *-s*, altså ...",servōs
"Gen pl har også samme endelse som A-stammerne, altså ...",servōrum
"Dat og abl har også samme endelse som A-stammerne, altså ...","servīs, servīs (servo-is > servīs) "
Gentag hele pluralis!,"servī, servōs, servōrum, servīs, servīs "
Bøj *servus* i sg og pl!,"servus, servum, servī, servō, servō / servī, servōs, servōrum, servīs, servīs"
Hvilken form er *servum*?,akk sg 
og *servōrum*?,gen pl 
og *servī*?,gen sg eller nom pl
*servō*?,dat eller abl sg (= stammen) 
Hvad er *servīs*?,dat og abl pl 
Hvad er *servus*?,nom sg
Hvad hedder akk sg og pl?,"servum, servōs "
Nævn alle kasusendelserne for O-stammer i maskulinum!,"-(u)s, -(u)m, -ī, -ō, -ō /  -ī, -s, -rum, -īs, -īs. Nu kan du de almindelige maskuline O-stammer!"
