Lektion 08 -- Kons- og I-stammer I (substantiver) (2.1.3.1)
"Kons- og I-stammer. Først i m og f: nom sg ender enten på *-s* eller (ved stammer på -l, -n, -r) på *nul*. Stammerne *rēg*- og *cōnsul-* hedder derfor i nom ...","rēx (<rēg-s), consul "
Akk sg har kasusmærket *-m*. Imellem stamme og *-m* sættes bindevokalen *e*: *rēg-e-m* og *cōnsul-*  ...,cōnsulem (altså samme kasusendelse som A- og O-stammer) 
"Gen sg har endelsen *-is*, altså ... (*rēg-*, *cōnsul-*)","rēgis, cōnsulis "
Dativ ender på *–ī* og hedder derfor ...,"rēgī, cōnsulī "
"Abl ender i de fleste tilfælde på *-e* (kun nogle I-stammer ender på *-ī*), altså ...","rēge, cōnsule "
Gentag kasusendelserne i sg!,"s/nul, -(e)m, -is, -ē, -e"
"Nom og akk pl ender på *-ēs*, altså ... (*rēg-*, *cōnsul-*)","rēgēs, rēgēs / cōnsulēs, cōnsulēs "
"Genitiv ender på *-um*, altså ...","rēgum, cōnsulum "
"I-stammerne bevarer stammens *-i* i gen pl, der ender på *-(i)um*, fx *parti-um* og *monti-* ...",montium
"Dat og abl ender begge på *-ibus*, altså ...(rēg-, cōnsul-)","rēgibus, rēgibus / cōnsulibus, cōnsulibus "
Bøj *rēx* (*rēg-*) i pl!,"rēgēs, rēgēs, rēgum, rēgibus, rēgibus "
Hvor mange forskellige former er der af *rēx* i pl?,"tre: rēgēs, rēgum, rēgibus "
Nævn Konsonant-stammernes kasusendelser i pl!,"-ēs, -ēs, -(i)um, ibus, ibus "
Bøj *cōnsul* i sg og pl!,"cōnsul, cōnsulem, cōnsulis, cōnsulī, cōnsule / cōnsulēs, cōnsulēs, cōnsulum, cōnsulibus, cōnsulibus "
*Pars* (del) har stammen *parti-* (-i- viser sig kun i gen pl). Bøj ordet i sg og pl!,"pars (< part(i)s), partem, partis, partī, parte / partēs, partēs, partium, partibus, partibus "
Hvad er Konsonant-stammernes kasusmærker i dat sg og pl?,-ī og -ibus 
og i akk sg og pl?,"-(e)m, -ēs "
i abl sg og pl?,"-e (sjældent -ī), -ibus "
"I nom sg og pl, og i gen sg og pl?","nom: -s/nul, -ēs, gen: -is, -(i)um"
