Lektion 10 -- Nominativs dannelse (2.9)
"Nom sg ender på *nul*, *-s* eller *-m*. Hvilke stammer har endelsen *-m*?","O-stammerne i neutrum, fx templum "
A-stammerne har mærket ...,"nul, fx terra af stammen terra-"
O-stammerne i mask har nominativsendelsen ...,"-(u)s, fx servus, dominus "
O-stammernes mask sg er dannet af stammen *-o* og ...,nominativkasusmærket -s (-os > us) 
"I Konsonant- og I-stammerne er der to kasusendelser: *nul* og *-s*. Nul bruges efter *l*, *n*, *r*. Cōnsul- hedder altså ...","cōnsul (som pater, māter) "
*Rēx* har nominativendelsen ...,"-s (rēg-s) – Stammer på *-t* har også *-s* i nom, men mister *-t-*: *cīvitāt-s* > *cīvitās*. "
"Dan nom sg af *virtūt-*, *ūniversitāt-*, *juventūt-*!","virtūs, ūniversitās, juventūs "
"N-stammer i m og f mister *-n* i nom: *sermōn-* > *sermō*, *regiōn-* > *regiō*. Dan nom sg af stammerne *reformātiōn-*, *Platōn-*, *fictiōn-*","reformātiō, Platō, fictiō "
"Dan nom sg af *uxor-* (hustru), *ancilla-*, *asino-*, *gymnasio-*, *duc-*, *cervīc-* (hals)!","uxor, ancilla, asinus, gymnasium, dux (duc-s), cervīx (cervīc-s) "
"I-stammerne er en underafdeling af Kononant-stammerne. -i- findes kun bevaret i gen pl (fx *urbium*, *montium*, *gentium*), ellers bøjes de som alm Konsonant-stammer. Hvad hedder de tre eksempler i nom sg?","urbs, mons, gens (-ti forsvinder foran -s) "
Nogle N-stammer på *-on* svækkes uden for nom (-on- > -in-). Akk-formen *hominem* (*homin-*) hedder altså i nom sg ...(stammens -n- bortfalder),homō
og multitūdinem hedder i nom sg ...,multitūdō
Konsonant-stammer i neutrum har endelsen nul: *tempor-* (egl tempos) hedder altså i nom sg ...,tempus (tempos > tempus)
"Neutrumsord på *-s* (fx corpus, tempus, genus, latus) ændrer i andre kasus stammens *-s* til *-r*: fx gen *corporis*, *temporis*, *generis*, *lateris*. Nom sg af disse ord hedder altså ...","corpus, tempus, genus, latus "
Hvad hedder disse ord i nom pl?,"corpora, tempora, genera, latera "
Neutrumsord af I-stamme ændrer i nom og akk sg -i til -e eller mister -i: *mari-* og *animali-* hedder således i nom og akk sg …,"mare, animal. Læg mærke til, at kasusendelserne ikke berøres, men altid er de samme "
Hvilket køn er de fleste A-stammer af?,"femininum. Der er nogle få maskuline ord (*nauta*, *scriba*, *agricola*) "
Hvilke(t) køn er O-stammerne?,"de der ender på -us er (næsten) alle mask (nogle få er fem), -um er altid neutrum "
Hvilke(t) køn er Kons-stammer?,"alle tre. Man kan ikke se kønnet. I U-stammerne findes der også ord af alle tre køn, men flest mask. I E-stammerne er der kun m og f"
