Lektion 13 -- Adverbier og adverbielle led (3 og 11.9)
Et adverbium fortæller noget om et  ...,"et verbum, et adjektiv, et andet adverbium eller hele sætningen "
"Et adverbium kan være født adverbium, fx *mox* (snart), eller være afledt af et adjektiv (hurtigt). Adj efter O-/A-stammer omdannes til adverbier ved *–ē* (stammens o-/a- bortfalder). Adj efter Kons-stammer omdannes til adverbier ved *-iter*. Adjektiverne lentus og gravis hedder derfor som adverbier ...",lentē og graviter 
"Adverbier kan naturligvis ikke kasusbøjes, men de kan gradbøjes (i komparativ og superlativ). Endelsen i komparativ er *-ius* og i superlativ *-issimē. Hvad hedder adjektiverne lentus og gravis som adverbier i alle 3 grader?","lentē, lentius, lentissimē / graviter, gravius, gravissimē "
Nu kan du danne adverbier af adjektiverne. Nu fra morfologien til syntaksen: Et adverbialled fortæller noget om verballeddet. Et adverbialled kan bestå af ...,"et adverbium, et substantiv i akkusativ eller ablativ (med eller uden præposition) eller en ledsætning "
"Hvilken oplysning giver fx adverbiet *hīc* (her), ablativen (med præposition) *in hortō* (i haven), ledsætningen *ubi sedēmus* (hvor vi sidder)?",alle fortæller om stedet for handlingen og de er derfor alle stedsadverbielle led 
"Hvilken oplysning giver fx adverbiet *nunc* (nu), ablativen *mense Januāriō* (i januar måned), *cum omnēs adsunt* (når alle er til stede)?",alle fortæller om tiden for handlingen og de er derfor alle tidsadverbielle led 
"Ablativ er substantivets adverbielle kasus med 3 hovedområder: *instrumental* (måde og middel), *lokativ/temporal* (sted/tid) og *separativ* (fjernelse). Hvilken af de tre hovedområder er det, når man har præpositionsforbindelser med ab (fra, af), dē (ned fra, af), ex (ud af, fra), sine (uden)?",separativ ablativ 
Hvilke af de tre hovedområder bruges uden præposition?,alle tre; langt den hyppigste er dog instrumental 
Hvilke tre ablativfunktioner findes der?,"instrumental (måde og middel), lokativ/temporal (sted/tid) og separativ (fjernelse) "
Hvilken ledfunktion i sætningen vil disse ablativer altid have?,adverbiel funktion (ablativ er substantivets adverbielle kasus) 
Også akk kan have adverbiel funktion. Den angiver bl.a. *retning mod noget*. Ligesom ved ablativ kan præpositioner støtte betydningen. Præpositionen *in* kan både forbindes med akk (*retning*) eller abl (*sted*). Hvilken forskel er der i betydningen mellem *in urbem* (akk) og *in urbe* (abl)?,"*in urbem* (akk) til byen (retning),*in urbe* (abl) i byen (lokativ) "
"akk kan altså, foruden at angive akk objekt og objektsprædikat også fungere som adverbialled og betegner så ...",en retning mod noget 
Derudover kan det betegne mådefang/grad og dermed være et adverbialled. *Multum dormiō* betyder?,jeg sover meget 
Hvilket sætningsled er *multum*?,adverbialled (måde og grad) 
Nu repeterer vi akk-funktionen: Hvilke tre ledfunktioner har akk?,"direkte objekt, objektsprædikat, adverbialled "
Hvilke betydningsområder har akk som adverbialled?,retning og måde/grad. Ud over retning og måde/grad kan akk også bruges adverbielt om tidsrum: *paucōs diēs morātus est* han blev der nogle få dage – Hermed nok om akkusativs funktion.
Hvilken kasus bruges først og fremmest til adverbialled?,ablativ (som er substantivets adverbielle kasus) 
Hvilke tre hovedområder kan ablativfunktionen deles op i?,"instrumental, lokativ/temporal og separativ "
"Hvad angiver henholdsvis instrumental, lokativ/temporal og separativ?","instrumental angiver måde og middel, lokativ angiver tid og sted, separativ angiver fjernelse."
