Lektion 15 -- Verber II, verbernes byggesten (6.6)
Et verbum består (mindst) af en stamme og en endelse. Først finitte verbalformer af imperfektivstammen: Nævn personendelserne i indikativ præsens aktiv!,"-o/-m, -s, -t, -mus, -tis, -nt "
Hvad kaldes verber med personendelser og verber uden personendelser?,finitte og infinitte verbalformer 
De finitte verbalformer har mellem stamme og personendelse et modus/tempus-mærke. I imperf indikativ præsens er mærket *nul*. Sæt aktive personendelser på stammen *vidē-*!,"videō, vidēs, videt, vidēmus, vidētis, vident "
"Indikativ præteritum har mærket *-ba-* mellem stamme og endelse, altså *vidē-* ...","vidēbam, vidēbās, vidēbat, vidēbāmus, vidēbātis, vidēbant "
"Indikativ futurum af *vidē-* har mærket *-b-* og bindevokalen *i/u* foran konsonant, altså personbøjes det *vidēbō ...","vidēbis, vidēbit, vidēbimus, vidēbitis, vidēbunt "
Konjunktiv præsens af *vidē-* har mærket *-a-* og bøjes altså ...,"videam, videās, videat, videāmus, videātis, videant "
"Imperfektiv konjunktiv præteritum har mærket *-re-*, altså ...","vidērem, vidērēs, vidēret, vidērēmus, vidērētis, vidērent "
"Futurum har ingen konjunktivform. Nævn modus-- og tempusmærkerne for *vidē-* i præsens, præteritum og futurum i indikativ og konjunktiv!","ind præs: *nul*, ind præt:*- ba-*, futurum: *-b(i/u)-* konj præs:*- a-*, konj præt:’- re-*"
Disse mærker gælder for verber med stammen *-ē-*. Nævn 1sg af docē- i disse former!,"ind: doceō, docēbam, docēbō, konj: doceam, docērem "
"Stammer på *-ā-* har de samme mærker, dog har konj præs *-e-* (amā-e-mus > amēmus). Nævn 2sg af *amā-* i imperfektiv indikativ og konjunktiv præs, præt og fut!","ind: amā-s, amā-bā-s, amā-b-is konj: am-ēs (<amā-ē-s), amā-rē-s "
"Konsonantstammer indsætter bindevokal i ind præs: *dicō*, *dicis* ..., *scrībō*, *scrībis* ...(bøj videre!)","dīcit, dīcimus, dīcitis, dīcunt / scrībit, scrībimus scrībitis scrībunt (bindevokalen -u- bruges kun i 3 pl) "
Ind præt dannes med bindevokal *-e-* og modus/tempus-mærket *-ba-*: *dūc-ē-ba-m*  ...,"dūcēbās, dūcēbat, dūcēbāmus, dūcēbātis, dūcēbant "
Hvordan dannes imperf konj præt?,"med (e)-re (som i a- og e-stammerne): dūcerem, dūcerēs, dūceret, dūcerēmus, dūcerētis, dūcerent "
"Ind futurum har i 1sg mærket *-a-* i de andre former *-e-*: *dūcam*, *dūcēs* ...","dūcet, dūcēmus, dūcētis, dūcent "
Hvilket modus/tempus-mærke kan futurum altså forveksles med?,med konjunktiv præsens i a-stammerne og indikativ præsens i e-stammerne 
"Konsonantstammernes konj præs har mærket *-a-* i alle personer, altså *dūcam*, *dūcās* ...","dūcat, dūcāmus, dūcātis, dūcant "
"Gentag modus/tempus-mærkerne for konsonantstammerne i imperfektiv ind og konj præs, præt og fut!","ind præs: *nul*, præt: *-ba-*, fut:* -a-*/*-e-*; konj præs: *-a*-, præt: ’*-re-* "
I-stammerne (audi-) bøjes i imperfektiv som konsonantstammerne. Nævn *audī-* i 1sg i imperf ind og konj:,"ind præs: audio, præt: audiēbam, fut: audiam (audiēs...) konj præs: audiam (audiās...) præt: audīrem"
"*audīs*, *audiēbās* og *audiēs* er hhv  ... og betyder ...","ind præs, præt og fut: du hører, du hørte, du vil høre"
