Lektion 17 -- Verber IV, finitte og infinitte verbalformer (6)
Imperfektiv konj præs og præt af *sum* dannes regelmæssigt af stammerne *si-* og *esse-* og hedder ...,"sim, sīs, sit, sīmus, sītis, sint - essem, essēs, esset, essēmus, essētis, essent "
Perfektivstammen af sum er *fu-. *Fuistī* og *fuissent* er altså hhv ...,perfektiv ind præs 2sg og perfektiv konj præt 3pl.
"*Passiv* dannes i imperfektivstammen med særlige personendelser, nemlig ...","-or/-r, -ris, -tur, -mur, -mini, -ntur "
"*amābantur*, *vidēbuntur* er altså ...",imperf ind præt pass 3sg og futurum ind passiv 3pl 
Hvad hedder 'I elskes'?,amāminī
I *perfektivsystemet* dannes passiv med perfektiv participium og en form af sum: *amatus sum* betyder jeg er (blevet) elsket. Hvad betyder *audītus sum* og hvad kaldes formen?,jeg er blevet hørt; perf ind præs 
Præteritum dannes med *ppp + eram*. 'Du var blevet elsket' hedder derfor ...,amātus/amāta erās 
Hvilken form er *amātī essent*?,perf konj præt pass 3pl! 
Hvad er infinitte verbalformer?,former uden personendelse. To af dem har aspekt: infinitiv og participium 
"– Imperf infinitiv aktiv dannes af stammen + *(e)re*. *Amā-, *vidē-*, *scrīb-*, *audī- hedder ... og betyder ...","amāre, vidēre, scrībere, audīre (at elske, at se, at skrive, at høre) "
"Imperf inf pass dannes i a-, e- og i- stammer ved *stammen + -rī*. I imperf passiv hedder *amā-*, *vidē-*, *audī-  ... og betyder ...","amārī, vidērī, audīrī (at elskes, at ses, at høres) "
"Perfektiv infinitiv aktiv dannes af perfektivstammen + *-isse*. I perf inf aktiv hedder amāv-, scrīps-, audīv-  ... og betyder ...","amāvisse, scrīpsisse, audīvisse (at have elsket, at have skrevet, at have hørt) "
"Participier er adjektiviske former af verbet. Perfektiv participium pass (ppp) dannes af: nominalstamme + O-/A-adj endelser, altså *amā-t-us*, *amā-t-a*, *amā-t-um*, elske-t. Dan perf ptc af *prīvā-*, *scrīb-*, *fac-*, *audī-*! ","prīvātus, scrīptus (scrībtus > scrīptus), factus, audītus "
Perfektiv participium passiv dannes altså af ...,nominalstammen (= imperfektivstamme + t) + adjektivernes O-/A-endelser 
"Nogle ppp’er dannes med mærket *-s-* (vīsus, lūsus) men hovedreglen er ...",nominalstammen + adjektivernes O-/A-endelser 
"Imperfektiv ptc aktiv dannes af imperfektivstammen + *-(e)nt-* + Kons-stammernes endelser: *amant-*. Dan tilsvarende af *rogā-*, *vidē-*, *studē-*, *scrīb-*, *audī-*!","rogānt-, vidēnt-, studēnt-, scrībent-,- audiēnt- "
"Imperfektiv participium aktiv er en Konsonantstamme (I-stamme). Sæt de fem ord i gen sg og abl pl (rogānt-, vidēnt-, studēnt-, scrībent-,- audiēnt-)!","gen sg: rogāntis, vidēntis, studēntis, scrībēntis, audiēntis abl pl: rogāntibus, vidēntibus, studēntibus, scrībēntibus, audiēntibus "
"Nom sg dannes med *-s* men med bortfald af *-t-*, *rogāns*. Dan de øvrige (vidēnt-, studēnt-, scrībent-,- audiēnt-)!","vidēns, studēns, scrībēns, audiēns "
"Imperf ptc er i virkeligheden en I-stamme: amānt(i-). Den hedder derfor i gen pl amāntium. Dan de øvrige (vidēnt-, studēnt-, scrībent-,- audiēnt-)!","vidēntium, studēntium, scrībēntium, audiēntium"
