Lektion 18 -- Syntax, konjunktioner og ledsætninger (9)
"Konjunktioner ('bindere') knytter enkeltord, led og nexus sammen. Man skelner mellem *parataktiske* (sideordnende) og *hypotaktiske* konjunktioner (underordnende). De sidste indleder altid ledsætninger. – Parataktiske konjunktioner: *et*, *atque*, *ac* og *-que* betyder alle ...",og 
"De er alle positive. De negative parataktiske konjunktioner hedder *neque*, *nec* og betyder ...",og ... ikke 
"*sed*, *vērum*, *autem*, *at* er adversative (modsættende) parataktiske konjunktioner og betyder ...",men/derimod 
"*nam*, *enim* er kausale (forklarende) parataktiske konjunktioner og betyder ...","for, thi, nemlig "
"Fælles for alle de nævnte konjunktioner (*et*, *atque*, *ac*, *-que*, *neque*, *nec*, *sed*, *vērum*, *autem*, *at*, *nam*, *enim*) er at de er ...",parataktiske konjunktioner 
"Hvad vil det sige, at en konjunktion er parataktisk?","at den er sideordnende (den binder enkeltord, led eller eller nexus på samme niveau sammen) "
"Hvad vil det sige, at en konjunktion er hypotaktisk?",at den er underordnende (den knytter en ledsætning til en overordnet sætning) 
"De fleste hypotaktiske konjunktioner indleder adverbielle ledsætninger: *cum* (da, idet), dum (mens), *postquam* (efter at), *priusquam* (før end) indleder alle adverbielle ledsætninger, som angiver ...",tid for den overordnede sætnings handling (altså er de tidsadverbielle ledsætninger) 
"*cum*, *quia*, *quod*, *quoniam* (alle med betydningen: fordi, eftersom) indleder alle adverbielle ledsætninger, som angiver ... ",årsag til den overordnede sætnings handling (altså er de årsagsadverbielle ledsætninger) 
"*sī* (hvis), *nisi* (hvis ...ikke) indleder begge adverbielle ledsætninger, som angiver ... ","betingelse for den overordnede sætnings handling (altså er de betingelsesadverbielle, konditionale, ledsætninger) "
"Der findes også substantiviske og adjektiviske ledsætninger. En substantivisk ledsætning fungerer som subjekt eller objekt i en overordnet sætning. Hvilket led er følgende substantiviske ledsætning: *non intellegō, quid dīcās* (jeg forstår ikke, hvad du siger)?",quid dīcās' er direkte objekt for verbet 'intellegō' 
"Disse substantiviske ledsætninger indledes ofte af et interrogativt pronomen, som dermed også fungerer som hypotaktisk konjunktion. *Quī amīcus est, amat* (den der er ven, elsker). *Quī amīcus est* er en relativ ledsætning. Hvilket sætningsled er den i hovedsætningen?",subjekt (det er altså en substantivisk ledsætning) 
Substantiviske ledsætninger fungerer som hvilke led i den overordnede sætning?,subjekt eller objekt (det sidste er det almindeligste) 
"Adjektiviske ledsætninger indledes med et relativt pronomen, som har et korrelat (et ord, det henviser til) i den overordnede sætning: *mātrōna, quae hīc sedet, māter mea est* (den kvinde, *som sidder her*, er min mor). Hvad er korrelatet til relativledsætningen *quae hīc sedet*?",mātrōna
"*quae hīc sedet* er en adjektivisk ledsætning og danner derfor sammen med korrelatet *mātrōna* ét led. Hvilket sætningsled er *mātrōna, quae hīc sedet* i sætningen *mātrōna, quae hīc sedet, māter mea est*?",subjekt for verbet est 
"Opsummering: der findes to slags konjunktioner, nemlig ...",de parataktiske og de hypotaktiske 
"De hypotaktiske konjunktioner indleder 3 typer ledsætninger, nemlig ...","de substantiviske, de adjektiviske og de adverbielle ledsætninger "
"Hvilken af disse tre ledsætninger skal ikke i første omgang analyseres separat, men sammen med en del af den overordnede sætning?",den adjektiviske ledsætning 
"Hvilken af de 3 ledsætninger (substantivisk, adjektivisk, adverbiel) er den hyppigst forekommende?",den adverbielle ledsætning
