Lektion 19 -- Syntax, modusbrug (14)
"Modus (måde) angiver en nuancering af et udsagn, fx betegner 'du synger', 'syng' og 'bare han vil synge' tre forskellige modi. På latin er der 3 finitte modi: indikativ (faktum), konjunktiv (ønske, vilje) og imperativ (bydeform). – Hvor mange finitte modi er der på latin og hvad hedder de?","tre: indikativ, konjunktiv og imperativ "
Imperativ bruges til ...,ordrer
"Modus i hovedsætninger er normalt indikativ, men konjunktiv, hvis man vil udtrykke ønske (optativ) eller befaling/opfordring (jussiv). Hvorledes skal *tacet* (ind) og *taceat* (konj) oversættes? (*taceo* jeg tier stille)",*tacet* han tier stille; *taceat* han skal tie stille (jussiv) / bare han tier stille (optativ) 
Konjunktiven i taceat betegner altså ..,befaling/opfordring (jussiv konjunktiv) eller ønske (optativ) 
Konjunktiv i en hovedsætning betegner altså enten ... eller ...,befaling/opfordring (jussiv) eller ønske (optativ) 
"Modus i ledsætninger: som regel er der ingen oversættelsesvanskeligheder, da betydningen støttes af konjunktionens betydning. Spørgende ledsætninger har altid konjunktiv: *vidē, quis hīc sit*! (se, hvem der er her). Bestem formen *sit*!",imperfektiv konj præsens af verbet sum 
"Ledsætninger indledt med den *ut* kan have indikativ eller konjunktiv og betydningen af ledsætningen er afhængig af modusbrugen. *Ut med indikativ er sammenlignings-* (som, ligesom) eller *tidsledsætninger* (da, så snart som). Hvorledes skal man oversætte *ut patrēs sunt, sīc fīliī*?","således som fædrene er, sådan er sønnerne "
"Oversæt ut prīmum hīc vēnit, tumultus factus est!","så snart han kom, opstod der tumult "
Hvad angiver ut-sætninger med indikativ? ... og ...,sammenligningsledsætninger og tidsledsætninger 
"*Ut-sætninger med konjunktiv* har tre betydninger: en *objektssætning*, en *hensigtssætning* (final) eller en *følgesætning* (konsekutiv). Oversæt *cūrā, ut valeās* (*cūrō* sørger for)!","sørg for, at du har det godt "
Hvilken ledfunktion har ledsætningen *ut valeās*?,direkte objekt for verbet 'cūrā' 
"Hvad udtrykker ut-sætningen i *vēnit, ut nobiscum essent* (han kom, for at han kunne være sammen med os)?","hensigt, ut-sætn er derfor en final (hensigt) ledsætning og har konj (essent) "
"Hvad udtrykker ut-sætningen i *ita vīxī, ut me cīvem honestum aestimem* (jeg har levet således, at jeg mener, at jeg er en hæderfuld borger)?","følge, ut-sætn er derfor en konsekutiv (følge) ledsætning og har konj (aestimem) "
"Når man møder en ut-sætning, skal man først analysere modusbrugen. Står verbet i indikativ, er der følgende to muligheder: en ... og en ... ledsætning",tids- eller sammenligningsledsætning 
"Har ledsætningen indledt af *ut* konjunktiv, er der tre muligheder ...","en objektsledsætning (at), en final ledsætning (for at) eller en konsekutiv ledsætning (så at) "
"Relative ledsætninger har normalt indikativ, men kan have konjunktiv for samtidig at udtrykke hensigt. Oversæt *lēgātōs mīsit, quī pācem peterent* (han sendte gesandter, som ...) (*pācem petō* jeg beder om fred)",skulle bede om fred 
Hvorfor står den relative ledsætning i konjunktiv?,den udtrykker hensigt (= for at bede om fred) 
"Oversæt *nēmō est tam stultus, quī id nōn videat* ingen er så tåbelig, ...",(så) at han ikke kan se det 
Hvorfor står den relative ledsætning i konjunktiv?,den udtrykker følge (så at ...)
